NDX Index,5448,,,,,,,,,,
Interest,1.25%,,,,,,,,,,
Forward,5460,,,,,,,,,,
Tenor,349,days,,,,,,,,,
,,,,,,,,,,,
Strike,C,Bid,Ask,Mid,Implied Vol. %,Strike,P,Bid,Ask,Mid,Implied Vol. %
2700,C,2719.2,2738.9,2729.05,29.10%,2700,P,3,6.4,4.7,31.80%
2800,C,2621.6,2641.1,2631.35,29%,2800,P,3,7.4,5.2,30.70%
2900,C,2524.1,2543.6,2533.85,28.70%,2900,P,5,8.6,6.8,30.30%
3000,C,2427,2446.2,2436.6,28.50%,3000,P,6,9.9,7.95,29.50%
3100,C,2329.6,2349.1,2339.35,27.90%,3100,P,8,11.4,9.7,28.90%
3200,C,2233.2,2252.2,2242.7,27.50%,3200,P,10,13.1,11.55,28.30%
3300,C,2136.6,2155.6,2146.1,27%,3300,P,12,15,13.5,27.60%
3400,C,2040.4,2059.5,2049.95,26.40%,3400,P,14,17.4,15.7,26.90%
3500,C,1944.8,1963.7,1954.25,26%,3500,P,17,20.3,18.65,26.30%
3600,C,1849.6,1868.3,1858.95,25.40%,3600,P,20.1,23.6,21.85,25.60%
3700,C,1754.9,1773.4,1764.15,24.90%,3700,P,23.7,27.8,25.75,25%
3800,C,1660.7,1679.2,1669.95,24.30%,3800,P,28.3,31.9,30.1,24.40%
3900,C,1571,1585.7,1578.35,24%,3900,P,33.5,36.9,35.2,23.80%
4000,C,1474.7,1492.9,1483.8,23.20%,4000,P,39.5,42.6,41.05,23.30%
4100,C,1382.9,1401,1391.95,22.70%,4100,P,43.9,52.2,48.05,22.70%
4200,C,1292.2,1309.9,1301.05,22.10%,4200,P,51.8,59.8,55.8,22.10%
4300,C,1203.2,1218.5,1210.85,21.50%,4300,P,60.9,68.7,64.8,21.60%
4400,C,1114.7,1130.1,1122.4,21%,4400,P,70.7,78.8,74.75,21%
4500,C,1027.7,1043.6,1035.65,20.40%,4500,P,80.7,90.5,85.6,20.40%
4600,C,942.3,957.8,950.05,19.90%,4600,P,95.4,106.4,100.9,20%
4700,C,858.7,874.5,866.6,19.30%,4700,P,108.9,122,115.45,19.40%
4800,C,777.2,793.3,785.25,18.80%,4800,P,126.4,139.3,132.85,18.80%
4900,C,698,714.6,706.3,18.30%,4900,P,146.2,159.1,152.65,18.30%
5000,C,621.6,638.6,630.1,17.70%,5000,P,168.7,181.5,175.1,17.80%
5050,C,584.5,601.7,593.1,17.50%,5050,P,181.1,193.8,187.45,17.50%
5100,C,548.1,565.7,556.9,17.20%,5100,P,194.3,206.8,200.55,17.20%
5150,C,512.7,530.3,521.5,17%,5150,P,206.3,223,214.65,17%
5200,C,478.1,496.1,487.1,16.70%,5200,P,221.3,237.9,229.6,16.70%
5250,C,444.6,461.4,453,16.40%,5250,P,237.2,252.7,244.95,16.40%
5300,C,412.1,428.6,420.35,16.20%,5300,P,254.1,269.4,261.75,16.20%
5350,C,380.5,396.3,388.4,15.90%,5350,P,272.2,287.1,279.65,15.90%
5400,C,350.1,366.6,358.35,15.60%,5400,P,291.2,306,298.6,15.70%
5450,C,320.7,337.1,328.9,15.40%,5450,P,310.7,326.1,318.4,15.40%
5500,C,292.1,308.2,300.15,15.10%,5500,P,331.6,347.4,339.5,15.20%
5550,C,265.3,281.9,273.6,14.90%,5550,P,354.3,370,362.15,14.90%
5600,C,239.8,256.7,248.25,14.60%,5600,P,377.6,394,385.8,14.70%
5650,C,215.6,232.7,224.15,14.40%,5650,P,400.7,419.1,409.9,14.40%
5700,C,194.8,208.6,201.7,14.20%,5700,P,428.3,445.8,437.05,14.20%
5750,C,173.5,186.7,180.1,14%,5750,P,456,473.8,464.9,14%
5800,C,153.5,167.1,160.3,13.80%,5800,P,484.6,503.3,493.95,13.70%
5850,C,135,148.8,141.9,13.50%,5850,P,515.4,534.2,524.8,13.50%
5900,C,118,132,125,13.30%,5900,P,547.6,566.4,557,13.30%
5950,C,102.3,116.2,109.25,13.10%,5950,P,581.4,600.2,590.8,13.10%
6000,C,88.5,99.5,94,12.90%,6000,P,616.5,635.3,625.9,12.90%
6050,C,78.1,86.9,82.5,12.80%,6050,P,650.8,671,660.9,12.60%
6100,C,66.5,75,70.75,12.60%,6100,P,688.4,708,698.2,12.40%
6150,C,56.1,65,60.55,12.40%,6150,P,728.3,747.8,738.05,12.20%
6200,C,46.9,56,51.45,12.30%,6200,P,767.9,788,777.95,12%
6250,C,40.1,45,42.55,12%,6250,P,808.6,829,818.8,11.80%
6300,C,34.4,38,36.2,11.90%,6300,P,850.8,871,860.9,11.60%
6350,C,28.4,32,30.2,11.80%,6350,P,894.1,915,904.55,11.50%
6400,C,23.2,28,25.6,11.70%,6400,P,938.3,959,948.65,11.30%
6450,C,19.3,22,20.65,11.50%,6450,P,983.2,1004,993.6,11.10%
6500,C,15.6,19.8,17.7,11.50%,6500,P,1029,1049,1039,10.90%
